player_id,player_name,transfer_date,transfer_season_year,transfer_kind,transfer_fee_eur,source_club_id,target_club_id
1560,Barragán,2006-08-01,2006.0,Transfer,2500000.0,40,544
1560,Barragán,2005-08-01,2005.0,Free,0.0,1920,40
298,Rafael Camacho,2019-07-01,2019.0,Unknown,0.0,40,228
47411,N. El Zhar,2011-08-18,2011.0,Unknown,0.0,40,539
117334,Henoc Mukendi,2014-07-01,2014.0,Free,0.0,40,7693
117334,Henoc Mukendi,2013-07-19,2013.0,Loan,0.0,40,901
117334,Henoc Mukendi,2012-12-24,2012.0,Unknown,0.0,1337,40
117334,Henoc Mukendi,2012-08-08,2012.0,Loan,0.0,40,1337
20999,Rafa Páez,2015-01-30,2015.0,Loan,0.0,40,545
20999,Rafa Páez,2014-08-07,2014.0,Loan,0.0,40,500
103332,M. Pelosi,2015-07-19,2015.0,Unknown,0.0,40,1596
82878,T. Belford,2013-07-31,2013.0,Free,0.0,40,1353
51696,Diego Ismael Ferreira Villa,2015-07-16,2015.0,Free,0.0,2327,40
102074,Luis Alberto Torrecilla Michelle,2017-03-21,2017.0,Free,0.0,40,2375
102074,Luis Alberto Torrecilla Michelle,2016-01-05,2016.0,Free,0.0,435,40
227206,Sergio Esteban Bica Suárez,2015-07-29,2015.0,Free,0.0,40,2374
227206,Sergio Esteban Bica Suárez,2014-07-26,2014.0,Free,0.0,1050,40
51881,Cristian Martín Rodríguez Telis,2015-07-20,2015.0,Unknown,0.0,2374,40
109116,Diego Emanuel González Pereyra,2012-01-01,2012.0,Free,0.0,40,1155
101859,Pablo César Pintos Cabral,2017-02-15,2017.0,Free,0.0,40,2362
101859,Pablo César Pintos Cabral,2016-02-29,2016.0,Free,0.0,1596,40
19629,D. Martin,2008-08-01,2008.0,Loan,0.0,40,46
19629,D. Martin,2007-05-06,2007.0,Unknown,0.0,1360,40
20399,Paul Anderson,2007-08-01,2007.0,Loan,0.0,40,76
82591,David Haydn Raven,2008-08-09,2008.0,Free,0.0,40,1371
105175,Damien Plessis,2010-08-31,2010.0,Transfer,800000.0,40,617
105175,Damien Plessis,2007-08-08,2007.0,Transfer,500000.0,80,40
3639,Michael Ayodeji Ngoo,2014-08-15,2014.0,Free,0.0,40,250
3639,Michael Ayodeji Ngoo,2014-01-31,2014.0,Loan,0.0,40,1342
3639,Michael Ayodeji Ngoo,2013-09-29,2013.0,Unknown,0.0,1377,40
3639,Michael Ayodeji Ngoo,2013-07-10,2013.0,Loan,0.0,40,1377
