transfer_season_year,transfers_in,transfers_out,fee_in_sum,fee_out_sum,transfers_statistics,fee_statistics
2004.0,0,6,0.0,26100000.0,0.0,0.0
2005.0,7,4,33925000.0,8800000.0,1.75,3.855
2006.0,3,6,14300000.0,5300000.0,0.5,2.698
2007.0,12,8,103250000.0,12675000.0,1.5,8.146
2008.0,5,10,39900000.0,34750000.0,0.5,1.148
2009.0,3,12,43500000.0,16700000.0,0.25,2.605
2010.0,8,20,11600000.0,31700000.0,0.4,0.366
2011.0,11,33,132700000.0,74465000.0,0.333,1.782
2012.0,11,16,37525000.0,6200000.0,0.687,6.052
2013.0,13,34,77200000.0,30800000.0,0.382,2.506
2014.0,26,37,143300000.0,84000000.0,0.703,1.706
2015.0,23,43,105000000.0,83800000.0,0.535,1.253
2016.0,25,29,92700000.0,80900000.0,0.862,1.146
2017.0,17,33,89000000.0,38300000.0,0.515,2.324
2018.0,13,29,271700000.0,135300000.0,0.448,2.008
2019.0,13,24,1900000.0,58300000.0,0.542,0.033
2020.0,11,21,90500000.0,41500000.0,0.524,2.181
2021.0,11,16,43800000.0,38500000.0,0.687,1.138
2022.0,16,25,124400000.0,61000000.0,0.64,2.039
2023.0,10,19,199500000.0,60700000.0,0.526,3.287
2024.0,12,25,42000000.0,58700000.0,0.48,0.716
