player_id,player_name,api_record_updated_at,transfer_date_raw,transfer_type_raw,destination_team_id,destination_team_name,destination_team_logo,source_team_id,source_team_name,source_team_logo
1560,Barragán,2023-09-01T21:55:00+00:00,2006-08-01,€ 2.5M,544.0,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png
1560,Barragán,2023-09-01T21:55:00+00:00,2005-08-01,Free,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png,1920.0,Sevilla W,https://media.api-sports.io/football/teams/1920.png
298,Rafael Camacho,2023-09-02T07:35:57+00:00,2019-07-01,N/A,228.0,Sporting CP,https://media.api-sports.io/football/teams/228.png,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png
47411,N. El Zhar,2023-09-02T07:49:01+00:00,2011-08-18,N/A,539.0,Levante,https://media.api-sports.io/football/teams/539.png,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png
117334,Henoc Mukendi,2023-09-02T20:34:09+00:00,2014-07-01,Free,7693.0,Ashton United,https://media.api-sports.io/football/teams/7693.png,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png
117334,Henoc Mukendi,2023-09-02T20:34:09+00:00,2013-07-19,Loan,901.0,Partick,https://media.api-sports.io/football/teams/901.png,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png
117334,Henoc Mukendi,2023-09-02T20:34:09+00:00,2012-12-24,N/A,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png,1337.0,Northampton,https://media.api-sports.io/football/teams/1337.png
117334,Henoc Mukendi,2023-09-02T20:34:09+00:00,2012-08-08,Loan,1337.0,Northampton,https://media.api-sports.io/football/teams/1337.png,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png
20999,Rafa Páez,2023-09-05T17:47:45+00:00,2015-01-30,Loan,545.0,Eibar,https://media.api-sports.io/football/teams/545.png,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png
20999,Rafa Páez,2023-09-05T17:47:45+00:00,2014-08-07,Loan,500.0,Bologna,https://media.api-sports.io/football/teams/500.png,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png
103332,M. Pelosi,2023-09-05T20:29:46+00:00,2015-07-19,N/A,1596.0,San Jose Earthquakes,https://media.api-sports.io/football/teams/1596.png,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png
82878,T. Belford,2023-09-06T04:29:40+00:00,2013-07-31,Free,1353.0,Swindon Town,https://media.api-sports.io/football/teams/1353.png,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png
51696,Diego Ismael Ferreira Villa,2023-09-06T05:10:17+00:00,2015-07-16,Free,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png,2327.0,Antofagasta,https://media.api-sports.io/football/teams/2327.png
102074,Luis Alberto Torrecilla Michelle,2023-09-06T05:11:12+00:00,2017-03-21,Free,2375.0,Canadian,https://media.api-sports.io/football/teams/2375.png,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png
102074,Luis Alberto Torrecilla Michelle,2023-09-06T05:11:12+00:00,2016-01-05,Free,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png,435.0,River Plate,https://media.api-sports.io/football/teams/435.png
227206,Sergio Esteban Bica Suárez,2023-09-06T05:11:16+00:00,2015-07-29,Free,2374.0,Tacuarembo,https://media.api-sports.io/football/teams/2374.png,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png
227206,Sergio Esteban Bica Suárez,2023-09-06T05:11:16+00:00,2014-07-26,Free,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png,1050.0,CD Marathon,https://media.api-sports.io/football/teams/1050.png
51881,Cristian Martín Rodríguez Telis,2023-09-06T05:27:50+00:00,2015-07-20,N/A,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png,2374.0,Tacuarembo,https://media.api-sports.io/football/teams/2374.png
109116,Diego Emanuel González Pereyra,2023-09-06T05:37:49+00:00,2012-01-01,Free,1155.0,Macara,https://media.api-sports.io/football/teams/1155.png,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png
101859,Pablo César Pintos Cabral,2023-09-06T05:41:58+00:00,2017-02-15,Free,2362.0,Cerro,https://media.api-sports.io/football/teams/2362.png,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png
101859,Pablo César Pintos Cabral,2023-09-06T05:41:58+00:00,2016-02-29,Free,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png,1596.0,San Jose Earthquakes,https://media.api-sports.io/football/teams/1596.png
19629,D. Martin,2023-09-06T06:07:12+00:00,2008-08-01,Loan,46.0,Leicester,https://media.api-sports.io/football/teams/46.png,40.0,Liverpool,https://media.api-sports.io/football/teams/40.png
